Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
06-NOV-2024,AMBUJACEM,Ambuja Cements Ltd,PI OPPORTUNITIES AIF V LLP,BUY,2896209,579.35
06-NOV-2024,DIVISLAB,Divi's Laboratories Limit,PI OPPORTUNITIES AIF V LLP,BUY,80324,5979.65
06-NOV-2024,DODLA,Dodla Dairy Limited,BK LEGACY TRUST,BUY,85500,1170.00
06-NOV-2024,GODREJCP,Godrej Cons Products Ltd,PI OPPORTUNITIES AIF V LLP,BUY,1142566,1269.35
06-NOV-2024,HDFCBANK,HDFC Bank Ltd.,PI OPPORTUNITIES AIF V LLP,BUY,1255133,1751.55
06-NOV-2024,ICICIBANK,ICICI Bank Ltd.,PI OPPORTUNITIES AIF V LLP,BUY,5588695,1306.85
06-NOV-2024,UNITDSPR,United Spirits Limited,PI OPPORTUNITIES AIF V LLP,BUY,1421589,1456.15
06-NOV-2024,AMBUJACEM,Ambuja Cements Ltd,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,2896209,579.35
06-NOV-2024,DIVISLAB,Divi's Laboratories Limit,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,80324,5979.65
06-NOV-2024,DODLA,Dodla Dairy Limited,VENKAT KRISHNA REDDY BUSIREDDY,SELL,85500,1170.00
06-NOV-2024,GODREJCP,Godrej Cons Products Ltd,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,1142566,1269.35
06-NOV-2024,HDFCBANK,HDFC Bank Ltd.,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,1255133,1751.55
06-NOV-2024,ICICIBANK,ICICI Bank Ltd.,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,5588695,1306.85
06-NOV-2024,UNITDSPR,United Spirits Limited,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,1421589,1456.15
