Confirmed list of securities to be auctioned in A 2024212 to be held on Nov 08 2024.

Sr No,Symbol,Series,Total Qty
1,3MINDIA,EQ,4
2,A2ZINFRA,EQ,3107
3,AAVAS,EQ,25
4,ACLGATI,EQ,5
5,ADROITINFO,EQ,500
6,ADVENZYMES,EQ,10
7,AJMERA,EQ,2
8,ALKEM,EQ,4
9,ALPHA,EQ,8000
10,AMBUJACEM,EQ,470
11,AMIORG,EQ,5
12,APOLLO,EQ,5
13,APOLLOHOSP,EQ,172
14,ARROWGREEN,EQ,608
15,ASHIANA,EQ,2
16,ASHOKA,EQ,1
17,ASIANPAINT,EQ,30
18,ASTRON,EQ,19
19,AVALON,EQ,87942
20,BAJAJ-AUTO,EQ,20
21,BAJAJELEC,EQ,2500
22,BAJAJHFL,EQ,9
23,BAJEL,EQ,1
24,BAJFINANCE,EQ,101
25,BANKINDIA,EQ,88
26,BBOX,EQ,1
27,BEL,EQ,1
28,BEML,EQ,49
29,BEPL,EQ,1
30,BIGBLOC,EQ,2
31,BLISSGVS,EQ,5
32,BLS,EQ,100
33,BODALCHEM,EQ,1
34,BSE,EQ,1
35,BVCL,EQ,1
36,CANBK,EQ,174
37,CAPLIPOINT,EQ,10
38,CARTRADE,EQ,24
39,CENTRALBK,EQ,2
40,CHAMBLFERT,EQ,50
41,CHEMBOND,EQ,26
42,CHENNPETRO,EQ,4
43,COFORGE,EQ,14
44,COROMANDEL,EQ,10
45,CYBERMEDIA,EQ,283
46,DBOL,EQ,18
47,DCMSHRIRAM,EQ,21
48,DCW,EQ,2
49,DEVIT,EQ,133
50,DHANI,EQ,1
51,DHANUKA,EQ,105
52,DHRUV,EQ,29
53,DHUNINV,EQ,20
54,DISHTV,EQ,2
55,DIVISLAB,EQ,5
56,DIXON,EQ,30
57,DLF,EQ,1
58,DMCC,EQ,75
59,DREDGECORP,EQ,1
60,ECOSMOBLTY,EQ,221
61,EDELWEISS,EQ,200
62,EGOLD,EQ,124
63,EIHAHOTELS,EQ,10
64,EMAMILTD,EQ,7
65,EQUITASBNK,EQ,2
66,ESILVER,EQ,105
67,GAIL,EQ,86
68,GANDHAR,EQ,200
69,GANESHHOUC,EQ,500
70,GANGAFORGE,EQ,647
71,GENESYS,EQ,1500
72,GEOJITFSL,EQ,646
73,GICRE,EQ,8
74,GMRINFRA,EQ,231
75,GODHA,EQ,10638
76,GOKUL,EQ,8
77,GOLDBEES,EQ,1000
78,GRSE,EQ,1
79,GUJGASLTD,EQ,1
80,HAL,EQ,80
81,HATHWAY,EQ,1
82,HBLPOWER,EQ,21
83,HDFCBSE500,EQ,1
84,HDFCLIFE,EQ,307
85,HDFCVALUE,EQ,1
86,HERANBA,EQ,11
87,HERCULES,EQ,28025
88,HINDALCO,EQ,1
89,HINDPETRO,EQ,12
90,HINDUNILVR,EQ,111
91,HINDZINC,EQ,802
92,HITECH,EQ,2
93,HONDAPOWER,EQ,3
94,HUDCO,EQ,1
95,ICEMAKE,EQ,82
96,IDBI,EQ,1201
97,IFBIND,EQ,200
98,IGL,EQ,9
